0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"HIT-HP MVX-0203-hh-100-cc
C25/30 C30/37 C20/25
As,Sp,h As,v As,Sp,h As,v As,Sp,h As,v gnurhewebegnähfuA
dnu
beidseitig direkt indirekt beidseitig direkt indirekt beidseitig direkt indirekt
-guztlapS
[cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²] [cm²] [cm²]
As,req 0,31 1,42 0,34 1,44 0,34 1,44 0,14 0,14 0,14
As,min 1,13 1,13 1,13 1,13 1,13 1,13 0,50 0,50 0,50
As,prov ∅6/25 ∅6/19,5 ∅6/25 ∅6/19,5 ∅6/25 ∅6/19,5 ∅8 ∅8 ∅8
Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V)
h-cnom
MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2
[mm] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m]
125 -9,0 48,0 -9,0 48,0 -9,2 48,0 -9,2 48,0 -9,2 48,0 -9,2 48,0
130 -9,5 48,0 -9,5 48,0 -9,7 48,0 -9,7 48,0 -9,7 48,0 -9,7 48,0
135 -10,0 48,0 -10,0 48,0 -10,2 48,0 -10,2 48,0 -10,2 48,0 -10,2 48,0 mm05
140 -10,5 48,0 -10,5 48,0 -10,7 48,0 -10,7 48,0 -10,7 48,0 -10,7 48,0
145 -11,0 48,0 -11,0 48,0 -11,2 48,0 -11,2 48,0 -11,2 48,0 -11,2 48,0 - 03=monc
150 -11,5 48,0 -11,5 48,0 -11,7 48,0 -11,7 48,0 -11,7 48,0 -11,7 48,0
155 -12,0 48,0 -12,0 48,0 -12,2 48,0 -12,2 48,0 -12,2 48,0 -12,2 48,0
160 -12,5 48,0 -12,5 48,0 -12,7 48,0 -12,7 48,0 -12,7 48,0 -12,7 48,0
rüf
165 -13,0 48,0 -13,0 48,0 -13,2 48,0 -13,2 48,0 -13,2 48,0 -13,2 48,0
eraapetreW-tfarkreuQ-netnemoM
170 -13,5 48,0 -13,5 48,0 -13,6 48,0 -13,6 48,0 -13,6 48,0 -13,6 48,0
175 -14,0 48,0 -14,0 48,0 -14,1 48,0 -14,1 48,0 -14,1 48,0 -14,1 48,0
180 -14,5 48,0 -14,5 48,0 -14,6 48,0 -14,6 48,0 -14,6 48,0 -14,6 48,0
185 -14,9 48,0 -14,9 48,0 -15,1 48,0 -15,1 48,0 -15,1 48,0 -15,1 48,0
190 -15,4 48,0 -15,4 48,0 -15,6 48,0 -15,6 48,0 -15,6 48,0 -15,6 48,0
195 -15,9 48,0 -15,9 48,0 -16,1 48,0 -16,1 48,0 -16,1 48,0 -16,1 48,0
200 -16,4 48,0 -16,4 48,0 -16,6 48,0 -16,6 48,0 -16,6 48,0 -16,6 48,0
205 -16,9 48,0 -16,9 48,0 -17,1 48,0 -17,1 48,0 -17,1 48,0 -17,1 48,0
210 -17,4 48,0 -17,4 48,0 -17,6 48,0 -17,6 48,0 -17,6 48,0 -17,6 48,0
215 -17,9 48,0 -17,9 48,0 -18,1 48,0 -18,1 48,0 -18,1 48,0 -18,1 48,0
,tiekgihäfgarT
220 -18,4 48,0 -18,4 48,0 -18,6 48,0 -18,6 48,0 -18,6 48,0 -18,6 48,0
225 -18,9 48,0 -18,9 48,0 -19,1 48,0 -19,1 48,0 -19,1 48,0 -19,1 48,0
230 -19,4 48,0 -19,4 48,0 -19,5 48,0 -19,5 48,0 -19,5 48,0 -19,5 48,0
235 -19,9 48,0 -19,9 48,0 -20,0 48,0 -20,0 48,0 -20,0 48,0 -20,0 48,0
240 -20,4 48,0 -20,4 48,0 -20,5 48,0 -20,5 48,0 -20,5 48,0 -20,5 48,0 red
245 -20,8 48,0 -20,8 48,0 -21,0 48,0 -21,0 48,0 -21,0 48,0 -21,0 48,0 dnatsuzznerG
250 -21,3 48,0 -21,3 48,0 -21,5 48,0 -21,5 48,0 -21,5 48,0 -21,5 48,0
255 -21,8 48,0 -21,8 48,0 -22,0 48,0 -22,0 48,0 -22,0 48,0 -22,0 48,0
260 -22,3 48,0 -22,3 48,0 -22,5 48,0 -22,5 48,0 -22,5 48,0 -22,5 48,0
265 -22,8 48,0 -22,8 48,0 -23,0 48,0 -23,0 48,0 -23,0 48,0 -23,0 48,0
270 -23,3 48,0 -23,3 48,0 -23,5 48,0 -23,5 48,0 -23,5 48,0 -23,5 48,0 mi
275 -23,8 48,0 -23,8 48,0 -24,0 48,0 -24,0 48,0 -24,0 48,0 -24,0 48,0 netiekgihäfgarT
280 -24,3 48,0 -24,3 48,0 -24,5 48,0 -24,5 48,0 -24,5 48,0 -24,5 48,0
285 -24,8 48,0 -24,8 48,0 -25,0 48,0 -25,0 48,0 -25,0 48,0 -25,0 48,0
290 -25,3 48,0 -25,3 48,0 -25,4 48,0 -25,4 48,0 -25,4 48,0 -25,4 48,0
295 -25,8 48,0 -25,8 48,0 -25,9 48,0 -25,9 48,0 -25,9 48,0 -25,9 48,0
300 -26,3 48,0 -26,3 48,0 -26,4 48,0 -26,4 48,0 -26,4 48,0 -26,4 48,0",,,,,,,,,,,,,,
,HIT-HP MVX-0203-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,,"As,req","0,14",,"0,31","1,42","0,14",,"0,34","1,44","0,14",,"0,34","1,44"
,,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
