0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"HIT-HP MVX-0303-hh-100-cc
C25/30 C30/37 C20/25
As,Sp,h As,v As,Sp,h As,v As,Sp,h As,v gnurhewebegnähfuA
dnu
indirekt beidseitig direkt indirekt beidseitig direkt beidseitig direkt indirekt
-guztlapS
[cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²] [cm²] [cm²]
As,req 0,38 1,49 0,42 1,52 0,42 1,52 0,21 0,21 0,21
As,min 1,13 1,13 1,13 1,13 1,13 1,13 0,50 0,50 0,50
As,prov ∅6/25 ∅6/18,5 ∅6/25 ∅6/18,5 ∅6/25 ∅6/18,5 ∅8 ∅8 ∅8
Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M)
h-cnom
MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2
[mm] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m]
125 -12,7 48,0 -12,7 48,0 -13,1 48,0 -13,1 48,0 -13,1 48,0 -13,1 48,0
130 -13,4 48,0 -13,4 48,0 -13,8 48,0 -13,8 48,0 -13,8 48,0 -13,8 48,0
135 -14,2 48,0 -14,2 48,0 -14,5 48,0 -14,5 48,0 -14,5 48,0 -14,5 48,0 mm05
140 -14,9 48,0 -14,9 48,0 -15,3 48,0 -15,3 48,0 -15,3 48,0 -15,3 48,0
145 -15,6 48,0 -15,6 48,0 -16,0 48,0 -16,0 48,0 -16,0 48,0 -16,0 48,0 - 03=monc
150 -16,4 48,0 -16,4 48,0 -16,8 48,0 -16,8 48,0 -16,8 48,0 -16,8 48,0
155 -17,1 48,0 -17,1 48,0 -17,5 48,0 -17,5 48,0 -17,5 48,0 -17,5 48,0
160 -17,8 48,0 -17,8 48,0 -18,2 48,0 -18,2 48,0 -18,2 48,0 -18,2 48,0
rüf
165 -18,6 48,0 -18,6 48,0 -19,0 48,0 -19,0 48,0 -19,0 48,0 -19,0 48,0
eraapetreW-tfarkreuQ-netnemoM
170 -19,3 48,0 -19,3 48,0 -19,7 48,0 -19,7 48,0 -19,7 48,0 -19,7 48,0
175 -20,1 48,0 -20,1 48,0 -20,4 48,0 -20,4 48,0 -20,4 48,0 -20,4 48,0
180 -20,8 48,0 -20,8 48,0 -21,2 48,0 -21,2 48,0 -21,2 48,0 -21,2 48,0
185 -21,5 48,0 -21,5 48,0 -21,9 48,0 -21,9 48,0 -21,9 48,0 -21,9 48,0
190 -22,3 48,0 -22,3 48,0 -22,7 48,0 -22,7 48,0 -22,7 48,0 -22,7 48,0
195 -23,0 48,0 -23,0 48,0 -23,4 48,0 -23,4 48,0 -23,4 48,0 -23,4 48,0
200 -23,7 48,0 -23,7 48,0 -24,1 48,0 -24,1 48,0 -24,1 48,0 -24,1 48,0
205 -24,5 48,0 -24,5 48,0 -24,9 48,0 -24,9 48,0 -24,9 48,0 -24,9 48,0
210 -25,2 48,0 -25,2 48,0 -25,6 48,0 -25,6 48,0 -25,6 48,0 -25,6 48,0
215 -26,0 48,0 -26,0 48,0 -26,3 48,0 -26,3 48,0 -26,3 48,0 -26,3 48,0
,tiekgihäfgarT
220 -26,7 48,0 -26,7 48,0 -27,1 48,0 -27,1 48,0 -27,1 48,0 -27,1 48,0
225 -27,4 48,0 -27,4 48,0 -27,8 48,0 -27,8 48,0 -27,8 48,0 -27,8 48,0
230 -28,2 48,0 -28,2 48,0 -28,6 48,0 -28,6 48,0 -28,6 48,0 -28,6 48,0
235 -28,9 48,0 -28,9 48,0 -29,3 48,0 -29,3 48,0 -29,3 48,0 -29,3 48,0
240 -29,6 48,0 -29,6 48,0 -30,0 48,0 -30,0 48,0 -30,0 48,0 -30,0 48,0 red
245 -30,4 48,0 -30,4 48,0 -30,8 48,0 -30,8 48,0 -30,8 48,0 -30,8 48,0 dnatsuzznerG
250 -31,1 48,0 -31,1 48,0 -31,5 48,0 -31,5 48,0 -31,5 48,0 -31,5 48,0
255 -31,9 48,0 -31,9 48,0 -32,2 48,0 -32,2 48,0 -32,2 48,0 -32,2 48,0
260 -32,6 48,0 -32,6 48,0 -33,0 48,0 -33,0 48,0 -33,0 48,0 -33,0 48,0
265 -33,3 48,0 -33,3 48,0 -33,7 48,0 -33,7 48,0 -33,7 48,0 -33,7 48,0
270 -34,1 48,0 -34,1 48,0 -34,5 48,0 -34,5 48,0 -34,5 48,0 -34,5 48,0 mi
275 -34,8 48,0 -34,8 48,0 -35,2 48,0 -35,2 48,0 -35,2 48,0 -35,2 48,0 netiekgihäfgarT
280 -35,5 48,0 -35,5 48,0 -35,9 48,0 -35,9 48,0 -35,9 48,0 -35,9 48,0
285 -36,3 48,0 -36,3 48,0 -36,7 48,0 -36,7 48,0 -36,7 48,0 -36,7 48,0
290 -37,0 48,0 -37,0 48,0 -37,4 48,0 -37,4 48,0 -37,4 48,0 -37,4 48,0
295 -37,8 48,0 -37,8 48,0 -38,1 48,0 -38,1 48,0 -38,1 48,0 -38,1 48,0
300 -38,5 48,0 -38,5 48,0 -38,9 48,0 -38,9 48,0 -38,9 48,0 -38,9 48,0",,,,,,,,,,,,,,
,HIT-HP MVX-0303-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,,"As,req","0,21",,"0,38","1,49","0,21",,"0,42","1,52","0,21",,"0,42","1,52"
,,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
