0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"HIT-HP MVX-0703-hh-100-cc
C25/30 C30/37 C20/25
As,Sp,h As,v As,Sp,h As,v As,Sp,h As,v gnurhewebegnähfuA
dnu
indirekt beidseitig direkt indirekt beidseitig direkt beidseitig direkt indirekt
-guztlapS
[cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²] [cm²] [cm²]
As,req 0,52 1,58 0,58 1,66 0,58 1,67 0,49 0,49 0,49
As,min 1,13 1,13 1,13 1,13 1,13 1,13 0,50 0,50 0,50
As,prov ∅6/25 ∅6/17,5 ∅6/25 ∅6/17 ∅6/25 ∅6/16,5 ∅8 ∅8 ∅8
Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M)
h-cnom
MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2
[mm] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m]
125 -18,5 48,0 -19,8 32,6 -21,5 48,0 -23,4 34,5 -22,4 48,0 -23,4 34,5
130 -19,8 48,0 -21,2 32,6 -23,0 48,0 -25,1 34,5 -24,0 48,0 -25,1 34,5
135 -21,0 48,0 -22,7 32,6 -24,4 48,0 -26,9 34,5 -25,6 48,0 -26,9 34,5 mm05
140 -22,3 48,0 -24,1 32,6 -25,9 48,0 -28,6 34,5 -27,2 48,0 -28,6 34,5
145 -23,6 48,0 -25,5 32,6 -27,4 48,0 -30,3 34,5 -28,7 48,0 -30,3 34,5 - 03=monc
150 -24,8 48,0 -27,0 32,6 -28,8 48,0 -32,0 34,5 -30,3 48,0 -32,0 34,5
155 -26,1 48,0 -28,4 32,6 -30,3 48,0 -33,7 34,5 -31,9 48,0 -33,7 34,5
160 -27,4 48,0 -29,8 32,6 -31,8 48,0 -35,5 34,5 -33,5 48,0 -35,5 34,5
rüf
165 -28,6 48,0 -31,3 32,6 -33,2 48,0 -37,2 34,5 -35,1 48,0 -37,2 34,5
eraapetreW-tfarkreuQ-netnemoM
170 -29,9 48,0 -32,7 32,6 -34,7 48,0 -38,9 34,5 -36,6 48,0 -38,9 34,5
175 -31,2 48,0 -34,2 32,6 -36,2 48,0 -40,6 34,5 -38,2 48,0 -40,6 34,5
180 -32,5 48,0 -35,6 32,6 -37,6 48,0 -42,3 34,5 -39,8 48,0 -42,3 34,5
185 -33,7 48,0 -37,0 32,6 -39,1 48,0 -44,1 34,5 -41,4 48,0 -44,1 34,5
190 -35,0 48,0 -38,5 32,6 -40,6 48,0 -45,8 34,5 -43,0 48,0 -45,8 34,5
195 -36,3 48,0 -39,9 32,6 -42,0 48,0 -47,5 34,5 -44,5 48,0 -47,5 34,5
200 -37,5 48,0 -41,4 32,6 -43,5 48,0 -49,2 34,5 -46,1 48,0 -49,2 34,5
205 -38,8 48,0 -42,8 32,6 -45,0 48,0 -50,9 34,5 -47,7 48,0 -50,9 34,5
210 -40,1 48,0 -44,2 32,6 -46,4 48,0 -52,7 34,5 -49,3 48,0 -52,7 34,5
215 -41,3 48,0 -45,7 32,6 -47,9 48,0 -54,4 34,5 -50,8 48,0 -54,4 34,5
,tiekgihäfgarT
220 -42,6 48,0 -47,1 32,6 -49,4 48,0 -56,1 34,5 -52,4 48,0 -56,1 34,5
225 -43,9 48,0 -48,5 32,6 -50,8 48,0 -57,8 34,5 -54,0 48,0 -57,8 34,5
230 -45,1 48,0 -50,0 32,6 -52,3 48,0 -59,6 34,5 -55,6 48,0 -59,6 34,5
235 -46,4 48,0 -51,4 32,6 -53,8 48,0 -61,3 34,5 -57,2 48,0 -61,3 34,5
240 -47,7 48,0 -52,9 32,6 -55,2 48,0 -63,0 34,5 -58,7 48,0 -63,0 34,5 red
245 -48,9 48,0 -54,3 32,6 -56,7 48,0 -64,7 34,5 -60,3 48,0 -64,7 34,5 dnatsuzznerG
250 -50,2 48,0 -55,7 32,6 -58,2 48,0 -66,4 34,5 -61,9 48,0 -66,4 34,5
255 -51,5 48,0 -57,2 32,6 -59,6 48,0 -68,2 34,5 -63,5 48,0 -68,2 34,5
260 -52,8 48,0 -58,6 32,6 -61,1 48,0 -69,9 34,5 -65,1 48,0 -69,9 34,5
265 -54,0 48,0 -60,1 32,6 -62,6 48,0 -71,6 34,5 -66,6 48,0 -71,6 34,5
270 -55,3 48,0 -61,5 32,6 -64,0 48,0 -73,3 34,5 -68,2 48,0 -73,3 34,5 mi
275 -56,6 48,0 -62,9 32,6 -65,5 48,0 -75,0 34,5 -69,8 48,0 -75,0 34,5 netiekgihäfgarT
280 -57,8 48,0 -64,4 32,6 -67,0 48,0 -76,8 34,5 -71,4 48,0 -76,8 34,5
285 -59,1 48,0 -65,8 32,6 -68,4 48,0 -78,5 34,5 -73,0 48,0 -78,5 34,5
290 -60,4 48,0 -67,2 32,6 -69,9 48,0 -80,2 34,5 -74,5 48,0 -80,2 34,5
295 -61,6 48,0 -68,7 32,6 -71,4 48,0 -81,9 34,5 -76,1 48,0 -81,9 34,5
300 -62,9 48,0 -70,1 32,6 -72,8 48,0 -83,6 34,5 -77,7 48,0 -83,6 34,5",,,,,,,,,,,,,,
,HIT-HP MVX-0703-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,,"As,req","0,49",,"0,52","1,58","0,49",,"0,58","1,66","0,49",,"0,58","1,67"
,,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,,"As,prov",∅8,,∅6/25,"∅6/17,5",∅8,,∅6/25,∅6/17,∅8,,∅6/25,"∅6/16,5"
,,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
,"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-18,5","48,0","-19,8","32,6","-21,5","48,0","-23,4","34,5","-22,4","48,0","-23,4","34,5"
,,130,"-19,8","48,0","-21,2","32,6","-23,0","48,0","-25,1","34,5","-24,0","48,0","-25,1","34,5"
,,135,"-21,0","48,0","-22,7","32,6","-24,4","48,0","-26,9","34,5","-25,6","48,0","-26,9","34,5"
,,140,"-22,3","48,0","-24,1","32,6","-25,9","48,0","-28,6","34,5","-27,2","48,0","-28,6","34,5"
,,145,"-23,6","48,0","-25,5","32,6","-27,4","48,0","-30,3","34,5","-28,7","48,0","-30,3","34,5"
,,150,"-24,8","48,0","-27,0","32,6","-28,8","48,0","-32,0","34,5","-30,3","48,0","-32,0","34,5"
,,155,"-26,1","48,0","-28,4","32,6","-30,3","48,0","-33,7","34,5","-31,9","48,0","-33,7","34,5"
,,160,"-27,4","48,0","-29,8","32,6","-31,8","48,0","-35,5","34,5","-33,5","48,0","-35,5","34,5"
,,165,"-28,6","48,0","-31,3","32,6","-33,2","48,0","-37,2","34,5","-35,1","48,0","-37,2","34,5"
,,170,"-29,9","48,0","-32,7","32,6","-34,7","48,0","-38,9","34,5","-36,6","48,0","-38,9","34,5"
,,175,"-31,2","48,0","-34,2","32,6","-36,2","48,0","-40,6","34,5","-38,2","48,0","-40,6","34,5"
,,180,"-32,5","48,0","-35,6","32,6","-37,6","48,0","-42,3","34,5","-39,8","48,0","-42,3","34,5"
,,185,"-33,7","48,0","-37,0","32,6","-39,1","48,0","-44,1","34,5","-41,4","48,0","-44,1","34,5"
,,190,"-35,0","48,0","-38,5","32,6","-40,6","48,0","-45,8","34,5","-43,0","48,0","-45,8","34,5"
,,195,"-36,3","48,0","-39,9","32,6","-42,0","48,0","-47,5","34,5","-44,5","48,0","-47,5","34,5"
,,200,"-37,5","48,0","-41,4","32,6","-43,5","48,0","-49,2","34,5","-46,1","48,0","-49,2","34,5"
,,205,"-38,8","48,0","-42,8","32,6","-45,0","48,0","-50,9","34,5","-47,7","48,0","-50,9","34,5"
,,210,"-40,1","48,0","-44,2","32,6","-46,4","48,0","-52,7","34,5","-49,3","48,0","-52,7","34,5"
,,215,"-41,3","48,0","-45,7","32,6","-47,9","48,0","-54,4","34,5","-50,8","48,0","-54,4","34,5"
,,220,"-42,6","48,0","-47,1","32,6","-49,4","48,0","-56,1","34,5","-52,4","48,0","-56,1","34,5"
,,225,"-43,9","48,0","-48,5","32,6","-50,8","48,0","-57,8","34,5","-54,0","48,0","-57,8","34,5"
,,230,"-45,1","48,0","-50,0","32,6","-52,3","48,0","-59,6","34,5","-55,6","48,0","-59,6","34,5"
,,235,"-46,4","48,0","-51,4","32,6","-53,8","48,0","-61,3","34,5","-57,2","48,0","-61,3","34,5"
,,240,"-47,7","48,0","-52,9","32,6","-55,2","48,0","-63,0","34,5","-58,7","48,0","-63,0","34,5"
,,245,"-48,9","48,0","-54,3","32,6","-56,7","48,0","-64,7","34,5","-60,3","48,0","-64,7","34,5"
,,250,"-50,2","48,0","-55,7","32,6","-58,2","48,0","-66,4","34,5","-61,9","48,0","-66,4","34,5"
,,255,"-51,5","48,0","-57,2","32,6","-59,6","48,0","-68,2","34,5","-63,5","48,0","-68,2","34,5"
,,260,"-52,8","48,0","-58,6","32,6","-61,1","48,0","-69,9","34,5","-65,1","48,0","-69,9","34,5"
,,265,"-54,0","48,0","-60,1","32,6","-62,6","48,0","-71,6","34,5","-66,6","48,0","-71,6","34,5"
,,270,"-55,3","48,0","-61,5","32,6","-64,0","48,0","-73,3","34,5","-68,2","48,0","-73,3","34,5"
,,275,"-56,6","48,0","-62,9","32,6","-65,5","48,0","-75,0","34,5","-69,8","48,0","-75,0","34,5"
,,280,"-57,8","48,0","-64,4","32,6","-67,0","48,0","-76,8","34,5","-71,4","48,0","-76,8","34,5"
,,285,"-59,1","48,0","-65,8","32,6","-68,4","48,0","-78,5","34,5","-73,0","48,0","-78,5","34,5"
,,290,"-60,4","48,0","-67,2","32,6","-69,9","48,0","-80,2","34,5","-74,5","48,0","-80,2","34,5"
,,295,"-61,6","48,0","-68,7","32,6","-71,4","48,0","-81,9","34,5","-76,1","48,0","-81,9","34,5"
,,300,"-62,9","48,0","-70,1","32,6","-72,8","48,0","-83,6","34,5","-77,7","48,0","-83,6","34,5"
