0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"HIT-HP MVX-0402-hh-100-cc
HIT-HP MVX-0201-hh-050-cc
C25/30 C30/37 C20/25
As,Sp,h As,v As,Sp,h As,v As,Sp,h As,v gnurhewebegnähfuA
dnu
indirekt beidseitig direkt indirekt beidseitig direkt beidseitig direkt indirekt
-guztlapS
[cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²] [cm²] [cm²]
As,req 0,33 1,05 0,37 1,11 0,37 1,11 0,42 0,42 0,42
As,min 1,13 1,13 1,13 1,13 1,13 1,13 0,50 0,50 0,50
As,prov ∅6/25 ∅6/25 ∅6/25 ∅6/25 ∅6/25 ∅6/25 ∅8 ∅8 ∅8
Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M)
h-cnom
MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2
[mm] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m]
125 -12,3 32,0 -13,3 15,6 -14,3 32,0 -14,4 31,7 -14,4 32,0 -14,4 32,0
130 -13,2 32,0 -14,3 15,6 -15,3 32,0 -15,4 31,7 -15,4 32,0 -15,4 32,0
135 -14,0 32,0 -15,3 15,6 -16,3 32,0 -16,4 31,7 -16,4 32,0 -16,4 32,0 mm05
140 -14,9 32,0 -16,3 15,6 -17,3 32,0 -17,3 31,7 -17,3 32,0 -17,3 32,0
145 -15,7 32,0 -17,3 15,6 -18,2 32,0 -18,3 31,7 -18,3 32,0 -18,3 32,0 - 03=monc
150 -16,6 32,0 -18,3 15,6 -19,2 32,0 -19,3 31,7 -19,3 32,0 -19,3 32,0
155 -17,4 32,0 -19,2 15,6 -20,2 32,0 -20,3 31,7 -20,3 32,0 -20,3 32,0
160 -18,3 32,0 -20,2 15,6 -21,2 32,0 -21,3 31,7 -21,3 32,0 -21,3 32,0
rüf
165 -19,1 32,0 -21,2 15,6 -22,2 32,0 -22,3 31,7 -22,3 32,0 -22,3 32,0
eraapetreW-tfarkreuQ-netnemoM
170 -19,9 32,0 -22,2 15,6 -23,1 32,0 -23,2 31,7 -23,2 32,0 -23,2 32,0
175 -20,8 32,0 -23,2 15,6 -24,1 32,0 -24,2 31,7 -24,2 32,0 -24,2 32,0
180 -21,6 32,0 -24,2 15,6 -25,1 32,0 -25,2 31,7 -25,2 32,0 -25,2 32,0
185 -22,5 32,0 -25,1 15,6 -26,1 32,0 -26,2 31,7 -26,2 32,0 -26,2 32,0
190 -23,3 32,0 -26,1 15,6 -27,0 32,0 -27,2 31,7 -27,2 32,0 -27,2 32,0
195 -24,2 32,0 -27,1 15,6 -28,0 32,0 -28,2 31,7 -28,2 32,0 -28,2 32,0
200 -25,0 32,0 -28,1 15,6 -29,0 32,0 -29,1 31,7 -29,1 32,0 -29,1 32,0
205 -25,9 32,0 -29,1 15,6 -30,0 32,0 -30,1 31,7 -30,1 32,0 -30,1 32,0
210 -26,7 32,0 -30,1 15,6 -31,0 32,0 -31,1 31,7 -31,1 32,0 -31,1 32,0
215 -27,6 32,0 -31,0 15,6 -31,9 32,0 -32,1 31,7 -32,1 32,0 -32,1 32,0
,tiekgihäfgarT
220 -28,4 32,0 -32,0 15,6 -32,9 32,0 -33,1 31,7 -33,1 32,0 -33,1 32,0
225 -29,2 32,0 -33,0 15,6 -33,9 32,0 -34,1 31,7 -34,1 32,0 -34,1 32,0
230 -30,1 32,0 -34,0 15,6 -34,9 32,0 -35,0 31,7 -35,0 32,0 -35,0 32,0
235 -30,9 32,0 -35,0 15,6 -35,8 32,0 -36,0 31,7 -36,0 32,0 -36,0 32,0
240 -31,8 32,0 -36,0 15,6 -36,8 32,0 -37,0 31,7 -37,0 32,0 -37,0 32,0 red
245 -32,6 32,0 -36,9 15,6 -37,8 32,0 -38,0 31,7 -38,0 32,0 -38,0 32,0 dnatsuzznerG
250 -33,5 32,0 -37,9 15,6 -38,8 32,0 -39,0 31,7 -39,0 32,0 -39,0 32,0
255 -34,3 32,0 -38,9 15,6 -39,8 32,0 -40,0 31,7 -40,0 32,0 -40,0 32,0
260 -35,2 32,0 -39,9 15,6 -40,7 32,0 -40,9 31,7 -40,9 32,0 -40,9 32,0
265 -36,0 32,0 -40,9 15,6 -41,7 32,0 -41,9 31,7 -41,9 32,0 -41,9 32,0
270 -36,9 32,0 -41,9 15,6 -42,7 32,0 -42,9 31,7 -42,9 32,0 -42,9 32,0 mi
275 -37,7 32,0 -42,8 15,6 -43,7 32,0 -43,9 31,7 -43,9 32,0 -43,9 32,0 netiekgihäfgarT
280 -38,6 32,0 -43,8 15,6 -44,6 32,0 -44,9 31,7 -44,9 32,0 -44,9 32,0
285 -39,4 32,0 -44,8 15,6 -45,6 32,0 -45,9 31,7 -45,9 32,0 -45,9 32,0
290 -40,2 32,0 -45,8 15,6 -46,6 32,0 -46,8 31,7 -46,8 32,0 -46,8 32,0
295 -41,1 32,0 -46,8 15,6 -47,6 32,0 -47,8 31,7 -47,8 32,0 -47,8 32,0
300 -41,9 32,0 -47,8 15,6 -48,5 32,0 -48,8 31,7 -48,8 32,0 -48,8 32,0",,,,,,,,,,,,,,
,HIT-HP MVX-0402-hh-100-cc,,,,,,,,,,,,,
,HIT-HP MVX-0201-hh-050-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,,"As,req","0,42",,"0,33","1,05","0,42",,"0,37","1,11","0,42",,"0,37","1,11"
,,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,,"As,prov",∅8,,∅6/25,∅6/25,∅8,,∅6/25,∅6/25,∅8,,∅6/25,∅6/25
