0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"HIT-HP MVX-0904-hh-100-cc
C25/30 C30/37 C20/25
As,Sp,h As,v As,Sp,h As,v As,Sp,h As,v gnurhewebegnähfuA
dnu
indirekt beidseitig direkt indirekt beidseitig direkt beidseitig direkt indirekt
-guztlapS
[cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²] [cm²] [cm²]
As,req 0,69 2,11 0,77 2,21 0,77 2,23 0,48 0,48 0,48
As,min 1,13 1,13 1,13 1,13 1,13 1,13 0,50 0,50 0,50
As,prov ∅6/25 ∅6/13 ∅6/25 ∅6/12,5 ∅6/25 ∅6/12,5 ∅8 ∅8 ∅8
Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M)
h-cnom
MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2
[mm] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m]
125 -24,7 64,0 -28,0 6,6 -28,7 64,0 -30,7 51,1 -29,9 64,0 -30,7 54,7
130 -26,4 64,0 -30,2 6,6 -30,6 64,0 -32,9 51,1 -32,0 64,0 -32,9 54,7
135 -28,0 64,0 -32,4 6,6 -32,6 64,0 -35,1 51,1 -34,1 64,0 -35,1 54,7 mm05
140 -29,7 64,0 -34,7 6,6 -34,5 64,0 -37,3 51,1 -36,2 64,0 -37,3 54,7
145 -31,4 64,0 -36,9 6,6 -36,5 64,0 -39,5 51,1 -38,3 64,0 -39,5 54,7 - 03=monc
150 -33,1 64,0 -39,1 6,6 -38,4 64,0 -41,7 51,1 -40,4 64,0 -41,7 54,7
155 -34,8 64,0 -41,3 6,6 -40,4 64,0 -43,9 51,1 -42,5 64,0 -43,9 54,7
160 -36,5 64,0 -43,5 6,6 -42,4 64,0 -46,2 51,1 -44,6 64,0 -46,2 54,7
rüf
165 -38,2 64,0 -45,7 6,6 -44,3 64,0 -48,4 51,1 -46,7 64,0 -48,4 54,7
eraapetreW-tfarkreuQ-netnemoM
170 -39,9 64,0 -47,9 6,6 -46,3 64,0 -50,6 51,1 -48,8 64,0 -50,6 54,7
175 -41,6 64,0 -50,2 6,6 -48,2 64,0 -52,8 51,1 -50,9 64,0 -52,8 54,7
180 -43,3 64,0 -52,4 6,6 -50,2 64,0 -55,0 51,1 -53,1 64,0 -55,0 54,7
185 -45,0 64,0 -54,6 6,6 -52,1 64,0 -57,2 51,1 -55,2 64,0 -57,2 54,7
190 -46,7 64,0 -56,8 6,6 -54,1 64,0 -59,4 51,1 -57,3 64,0 -59,4 54,7
195 -48,3 64,0 -59,0 6,6 -56,0 64,0 -61,6 51,1 -59,4 64,0 -61,6 54,7
200 -50,0 64,0 -61,2 6,6 -58,0 64,0 -63,9 51,1 -61,5 64,0 -63,9 54,7
205 -51,7 64,0 -63,4 6,6 -60,0 64,0 -66,1 51,1 -63,6 64,0 -66,1 54,7
210 -53,4 64,0 -65,6 6,6 -61,9 64,0 -68,3 51,1 -65,7 64,0 -68,3 54,7
215 -55,1 64,0 -67,9 6,6 -63,9 64,0 -70,5 51,1 -67,8 64,0 -70,5 54,7
,tiekgihäfgarT
220 -56,8 64,0 -70,1 6,6 -65,8 64,0 -72,7 51,1 -69,9 64,0 -72,7 54,7
225 -58,5 64,0 -72,3 6,6 -67,8 64,0 -74,9 51,1 -72,0 64,0 -74,9 54,7
230 -60,2 64,0 -74,5 6,6 -69,7 64,0 -77,1 51,1 -74,1 64,0 -77,1 54,7
235 -61,9 64,0 -76,7 6,6 -71,7 64,0 -79,3 51,1 -76,2 64,0 -79,3 54,7
240 -63,6 64,0 -78,9 6,6 -73,6 64,0 -81,6 51,1 -78,3 64,0 -81,6 54,7 red
245 -65,3 64,0 -81,1 6,6 -75,6 64,0 -83,8 51,1 -80,4 64,0 -83,8 54,7 dnatsuzznerG
250 -67,0 64,0 -83,3 6,6 -77,5 64,0 -86,0 51,1 -82,5 64,0 -86,0 54,7
255 -68,6 64,0 -85,6 6,6 -79,5 64,0 -88,2 51,1 -84,6 64,0 -88,2 54,7
260 -70,3 64,0 -87,8 6,6 -81,5 64,0 -90,4 51,1 -86,7 64,0 -90,4 54,7
265 -72,0 64,0 -90,0 6,6 -83,4 64,0 -92,6 51,1 -88,9 64,0 -92,6 54,7
270 -73,7 64,0 -92,2 6,6 -85,4 64,0 -94,8 51,1 -91,0 64,0 -94,8 54,7 mi
275 -75,4 64,0 -94,4 6,6 -87,3 64,0 -97,1 51,1 -93,1 64,0 -97,1 54,7 netiekgihäfgarT
280 -77,1 64,0 -96,6 6,6 -89,3 64,0 -99,3 51,1 -95,2 64,0 -99,3 54,7
285 -78,8 64,0 -98,8 6,6 -91,2 64,0 -101,5 51,1 -97,3 64,0 -101,5 54,7
290 -80,5 64,0 -101,0 6,6 -93,2 64,0 -103,7 51,1 -99,4 64,0 -103,7 54,7
295 -82,2 64,0 -103,3 6,6 -95,1 64,0 -105,9 51,1 -101,5 64,0 -105,9 54,7
300 -83,9 64,0 -105,5 6,6 -97,1 64,0 -108,1 51,1 -103,6 64,0 -108,1 54,7
310 -78,6 64,0 -78,6 64,0 -91,5 64,0 -91,5 64,0 -101,7 64,0 -101,7 64,0 cnom=
320 -81,7 64,0 -81,7 64,0 -95,0 64,0 -95,0 64,0 -105,6 64,0 -105,6 64,0 30mm
305 -77,1 64,0 -77,1 64,0 -89,7 64,0 -89,7 64,0 -99,7 64,0 -99,7 64,0 cnom=
315 -80,2 64,0 -80,2 64,0 -93,2 64,0 -93,2 64,0 -103,6 64,0 -103,6 64,0 35mm",,,,,,,,,,,,,,
,HIT-HP MVX-0904-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,,"As,req","0,48",,"0,69","2,11","0,48",,"0,77","2,21","0,48",,"0,77","2,23"
,,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,,"As,prov",∅8,,∅6/25,∅6/13,∅8,,∅6/25,"∅6/12,5",∅8,,∅6/25,"∅6/12,5"
,,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
,"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-24,7","64,0","-28,0","6,6","-28,7","64,0","-30,7","51,1","-29,9","64,0","-30,7","54,7"
,,130,"-26,4","64,0","-30,2","6,6","-30,6","64,0","-32,9","51,1","-32,0","64,0","-32,9","54,7"
,,135,"-28,0","64,0","-32,4","6,6","-32,6","64,0","-35,1","51,1","-34,1","64,0","-35,1","54,7"
,,140,"-29,7","64,0","-34,7","6,6","-34,5","64,0","-37,3","51,1","-36,2","64,0","-37,3","54,7"
,,145,"-31,4","64,0","-36,9","6,6","-36,5","64,0","-39,5","51,1","-38,3","64,0","-39,5","54,7"
,,150,"-33,1","64,0","-39,1","6,6","-38,4","64,0","-41,7","51,1","-40,4","64,0","-41,7","54,7"
,,155,"-34,8","64,0","-41,3","6,6","-40,4","64,0","-43,9","51,1","-42,5","64,0","-43,9","54,7"
,,160,"-36,5","64,0","-43,5","6,6","-42,4","64,0","-46,2","51,1","-44,6","64,0","-46,2","54,7"
,,165,"-38,2","64,0","-45,7","6,6","-44,3","64,0","-48,4","51,1","-46,7","64,0","-48,4","54,7"
,,170,"-39,9","64,0","-47,9","6,6","-46,3","64,0","-50,6","51,1","-48,8","64,0","-50,6","54,7"
,,175,"-41,6","64,0","-50,2","6,6","-48,2","64,0","-52,8","51,1","-50,9","64,0","-52,8","54,7"
,,180,"-43,3","64,0","-52,4","6,6","-50,2","64,0","-55,0","51,1","-53,1","64,0","-55,0","54,7"
,,185,"-45,0","64,0","-54,6","6,6","-52,1","64,0","-57,2","51,1","-55,2","64,0","-57,2","54,7"
,,190,"-46,7","64,0","-56,8","6,6","-54,1","64,0","-59,4","51,1","-57,3","64,0","-59,4","54,7"
,,195,"-48,3","64,0","-59,0","6,6","-56,0","64,0","-61,6","51,1","-59,4","64,0","-61,6","54,7"
