0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"HIT-HP MVX-0403-hh-100-cc
C25/30 C30/37 C20/25
As,Sp,h As,v As,Sp,h As,v As,Sp,h As,v gnurhewebegnähfuA
dnu
indirekt beidseitig direkt indirekt beidseitig direkt beidseitig direkt indirekt
-guztlapS
[cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²/m] [cm²] [cm²] [cm²]
As,req 0,43 1,54 0,48 1,58 0,48 1,58 0,28 0,28 0,28
As,min 1,13 1,13 1,13 1,13 1,13 1,13 0,50 0,50 0,50
As,prov ∅6/25 ∅6/18 ∅6/25 ∅6/17,5 ∅6/25 ∅6/17,5 ∅8 ∅8 ∅8
Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M) Punkt 1 (max V) Punkt 2 (max M)
h-cnom
MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2 MRd,1 ±VRd,1 MRd,2 ±VRd,2
[mm] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m] [kNm/m] [kN/m]
125 -15,7 48,0 -15,7 48,0 -16,4 48,0 -16,4 48,0 -16,4 48,0 -16,4 48,0
130 -16,7 48,0 -16,7 48,0 -17,4 48,0 -17,4 48,0 -17,4 48,0 -17,4 48,0
135 -17,7 48,0 -17,7 48,0 -18,4 48,0 -18,4 48,0 -18,4 48,0 -18,4 48,0 mm05
140 -18,7 48,0 -18,7 48,0 -19,4 48,0 -19,4 48,0 -19,4 48,0 -19,4 48,0
145 -19,6 48,0 -19,6 48,0 -20,3 48,0 -20,3 48,0 -20,3 48,0 -20,3 48,0 - 03=monc
150 -20,6 48,0 -20,6 48,0 -21,3 48,0 -21,3 48,0 -21,3 48,0 -21,3 48,0
155 -21,6 48,0 -21,6 48,0 -22,3 48,0 -22,3 48,0 -22,3 48,0 -22,3 48,0
160 -22,6 48,0 -22,6 48,0 -23,3 48,0 -23,3 48,0 -23,3 48,0 -23,3 48,0
rüf
165 -23,6 48,0 -23,6 48,0 -24,3 48,0 -24,3 48,0 -24,3 48,0 -24,3 48,0
eraapetreW-tfarkreuQ-netnemoM
170 -24,6 48,0 -24,6 48,0 -25,3 48,0 -25,3 48,0 -25,3 48,0 -25,3 48,0
175 -25,5 48,0 -25,5 48,0 -26,2 48,0 -26,2 48,0 -26,2 48,0 -26,2 48,0
180 -26,5 48,0 -26,5 48,0 -27,2 48,0 -27,2 48,0 -27,2 48,0 -27,2 48,0
185 -27,5 48,0 -27,5 48,0 -28,2 48,0 -28,2 48,0 -28,2 48,0 -28,2 48,0
190 -28,5 48,0 -28,5 48,0 -29,2 48,0 -29,2 48,0 -29,2 48,0 -29,2 48,0
195 -29,5 48,0 -29,5 48,0 -30,2 48,0 -30,2 48,0 -30,2 48,0 -30,2 48,0
200 -30,5 48,0 -30,5 48,0 -31,2 48,0 -31,2 48,0 -31,2 48,0 -31,2 48,0
205 -31,5 48,0 -31,5 48,0 -32,1 48,0 -32,1 48,0 -32,1 48,0 -32,1 48,0
210 -32,4 48,0 -32,4 48,0 -33,1 48,0 -33,1 48,0 -33,1 48,0 -33,1 48,0
215 -33,4 48,0 -33,4 48,0 -34,1 48,0 -34,1 48,0 -34,1 48,0 -34,1 48,0
,tiekgihäfgarT
220 -34,4 48,0 -34,4 48,0 -35,1 48,0 -35,1 48,0 -35,1 48,0 -35,1 48,0
225 -35,4 48,0 -35,4 48,0 -36,1 48,0 -36,1 48,0 -36,1 48,0 -36,1 48,0
230 -36,4 48,0 -36,4 48,0 -37,1 48,0 -37,1 48,0 -37,1 48,0 -37,1 48,0
235 -37,4 48,0 -37,4 48,0 -38,0 48,0 -38,0 48,0 -38,0 48,0 -38,0 48,0
240 -38,3 48,0 -38,3 48,0 -39,0 48,0 -39,0 48,0 -39,0 48,0 -39,0 48,0 red
245 -39,3 48,0 -39,3 48,0 -40,0 48,0 -40,0 48,0 -40,0 48,0 -40,0 48,0 dnatsuzznerG
250 -40,3 48,0 -40,3 48,0 -41,0 48,0 -41,0 48,0 -41,0 48,0 -41,0 48,0
255 -41,3 48,0 -41,3 48,0 -42,0 48,0 -42,0 48,0 -42,0 48,0 -42,0 48,0
260 -42,3 48,0 -42,3 48,0 -43,0 48,0 -43,0 48,0 -43,0 48,0 -43,0 48,0
265 -43,3 48,0 -43,3 48,0 -43,9 48,0 -43,9 48,0 -43,9 48,0 -43,9 48,0
270 -44,2 48,0 -44,2 48,0 -44,9 48,0 -44,9 48,0 -44,9 48,0 -44,9 48,0 mi
275 -45,2 48,0 -45,2 48,0 -45,9 48,0 -45,9 48,0 -45,9 48,0 -45,9 48,0 netiekgihäfgarT
280 -46,2 48,0 -46,2 48,0 -46,9 48,0 -46,9 48,0 -46,9 48,0 -46,9 48,0
285 -47,2 48,0 -47,2 48,0 -47,9 48,0 -47,9 48,0 -47,9 48,0 -47,9 48,0
290 -48,2 48,0 -48,2 48,0 -48,9 48,0 -48,9 48,0 -48,9 48,0 -48,9 48,0
295 -49,2 48,0 -49,2 48,0 -49,8 48,0 -49,8 48,0 -49,8 48,0 -49,8 48,0
300 -50,1 48,0 -50,1 48,0 -50,8 48,0 -50,8 48,0 -50,8 48,0 -50,8 48,0",,,,,,,,,,,,,,
,HIT-HP MVX-0403-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,,"As,req","0,28",,"0,43","1,54","0,28",,"0,48","1,58","0,28",,"0,48","1,58"
,,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,,"As,prov",∅8,,∅6/25,∅6/18,∅8,,∅6/25,"∅6/17,5",∅8,,∅6/25,"∅6/17,5"
